,ap_mac,ap_name
52947,94:d4:69:f6:e4:ec:,CD91
54945,70:d3:79:2e:ba:05:,
54946,70:d3:79:2e:ba:08:,stop&go
55387,94:d4:69:f6:e4:ea:,
55388,94:d4:69:f6:e4:eb:,Guest-CentraleSupelec
55802,70:d3:79:2e:ba:06:,fabrique2024
56239,70:d3:79:2e:ba:07:,
56447,26:e6:09:fd:e4:f9:,MaÃ¯ssa's Galaxy S21+ 5G
56452,62:38:00:ce:e1:46:,iPhone de Mortell
56464,94:d4:69:f6:c5:65:,
56466,94:d4:69:f6:c5:67:,
56474,94:d4:69:f9:5b:e3:,CD91
56475,94:d4:69:f9:5b:e4:,Guest-CentraleSupelec
56476,94:d4:69:f9:5b:e5:,
56478,94:d4:69:f9:5b:e7:,
56531,94:d4:69:fd:b1:05:,
56536,94:d4:69:fd:b1:0a:,
57038,e8:cc:18:8c:fe:80:,wifi hemicycle Amphi1 5g
58171,94:d4:69:f6:e4:ef:,eduroam
60054,1c:1e:e3:db:04:b8:,ES_8943
92438,2e:0e:3d:ee:59:86:,AndroidAP
93370,70:d3:79:2e:8c:87:,
95867,ba:e6:a4:82:1d:b4:,corei5
106222,94:d4:69:f6:c5:69:,fabrique2024
106223,94:d4:69:f6:c5:6b:,Guest-CentraleSupelec
109267,70:d3:79:2e:8c:8c:,CD91
109312,70:d3:79:2e:8c:89:,fabrique2024
109313,70:d3:79:2e:8c:8b:,Guest-CentraleSupelec
109315,70:d3:79:2e:8c:8f:,eduroam
112061,94:d4:69:f6:c5:6c:,CD91
112062,94:d4:69:f6:c5:6f:,eduroam
115837,94:d4:69:fd:ae:c3:,CD91
116147,84:3d:c6:d6:b8:5c:,CD91
117425,84:3d:c6:d6:b8:57:,stop&go
117426,84:3d:c6:d6:b8:5b:,Guest-CentraleSupelec
117428,84:3d:c6:d6:b8:5f:,eduroam
121669,94:d4:69:fd:ae:c0:,eduroam
121985,94:d4:69:fd:ae:c8:,stop&go
139355,70:d3:79:2e:ba:09:,fabrique2024
139356,70:d3:79:2e:ba:0b:,Guest-CentraleSupelec
139357,70:d3:79:2e:ba:0c:,CD91
139358,70:d3:79:2e:ba:0f:,eduroam
142847,94:d4:69:fd:ae:c6:,fabrique2024
176653,94:d4:69:fd:ae:c4:,Guest-CentraleSupelec
186888,84:3d:c6:d6:b8:59:,fabrique2024
188388,70:d3:79:2e:d6:a7:,stop&go
188389,70:d3:79:2e:d6:ac:,CD91
204244,1a:4e:16:8c:67:9e:,Le leopard
204245,1c:1e:e3:94:17:f8:,IFP_17f8
204248,82:45:e2:62:31:18:,DIRECT-BsDESKTOP-PHJL31LmsYV
204517,70:d3:79:2e:de:04:,Guest-CentraleSupelec
204806,70:d3:79:2e:de:06:,fabrique2024
204807,70:d3:79:2e:de:07:,
204808,70:d3:79:2e:de:08:,stop&go
205593,1c:1e:e3:94:17:83:,IFP_1783
205850,1a:44:45:b4:80:63:,Redmi Note 10 5G
206129,70:d3:79:2e:de:00:,eduroam
206131,70:d3:79:2e:de:05:,
208440,36:b9:16:16:d5:e1:,S23 de Robin
208449,70:d3:79:2e:de:03:,CD91
208455,70:d3:79:2e:de:60:,eduroam
208456,70:d3:79:2e:de:63:,CD91
208457,70:d3:79:2e:de:64:,Guest-CentraleSupelec
208458,70:d3:79:2e:de:65:,
208459,70:d3:79:2e:de:66:,fabrique2024
208460,70:d3:79:2e:de:67:,
208461,70:d3:79:2e:de:68:,stop&go
208462,76:32:44:fd:ed:e1:,iPhone de Romain
208472,94:d4:69:f6:c5:6a:,
218414,e8:cc:18:8d:3e:10:,wifi amphi 120-3
220675,70:d3:79:2e:ba:0a:,
220929,98:0d:51:53:4a:8b:,HONOR 9X
221070,06:b1:a1:97:6e:25:,Galaxy A30s6E25
222982,92:dc:17:b3:e6:d1:,Mouad's Galaxy A34 5G
232007,4a:ca:31:2d:66:5c:,S20+ de Nicole
233085,8e:45:00:a3:3f:b2:,Galaxy S93fb2
253955,ba:66:80:f8:c0:c7:,S23 de Alex
258947,70:d3:79:2e:d6:a4:,Guest-CentraleSupelec
258953,94:d4:69:f9:7f:c0:,eduroam
258954,94:d4:69:f9:7f:c3:,CD91
258955,94:d4:69:f9:7f:c8:,stop&go
