,ap_mac,ap_name,rssi,timestamp,room
182,94:d4:69:fd:b1:02,START UP FOR KIDS,-77,1714717375.8688695,LC405test
183,94:d4:69:fd:b1:03,CD91,-77,1714717375.8688695,LC405test
184,94:d4:69:fd:b1:04,Guest-CentraleSupelec,-77,1714717375.8688695,LC405test
185,94:d4:69:fd:b1:05,,-77,1714717375.8688695,LC405test
186,94:d4:69:fd:b1:06,fabrique2024,-77,1714717375.8688695,LC405test
187,94:d4:69:fd:b1:07,,-77,1714717375.8688695,LC405test
188,94:d4:69:fd:b1:08,stop&go,-77,1714717375.8688695,LC405test
189,94:d4:69:fd:b1:09,TOSS2024,-73,1714717375.8688695,LC405test
190,94:d4:69:fd:b1:0b,Guest-CentraleSupelec,-86,1714717375.8688695,LC405test
191,94:d4:69:fd:b1:0c,CD91,-85,1714717375.8688695,LC405test
192,94:d4:69:fd:b1:0d,START UP FOR KIDS,-86,1714717375.8688695,LC405test
193,94:d4:69:fd:b1:0f,eduroam,-91,1714717375.8688695,LC405test
194,94:d4:69:fd:b2:20,eduroam,-68,1714717375.8688695,LC405test
195,94:d4:69:fd:b2:21,,-68,1714717375.8688695,LC405test
196,94:d4:69:fd:b2:22,START UP FOR KIDS,-68,1714717375.8688695,LC405test
197,94:d4:69:fd:b2:23,CD91,-68,1714717375.8688695,LC405test
198,94:d4:69:fd:b2:24,Guest-CentraleSupelec,-68,1714717375.8688695,LC405test
199,94:d4:69:fd:b2:25,,-68,1714717375.8688695,LC405test
200,94:d4:69:fd:b2:26,fabrique2024,-68,1714717375.8688695,LC405test
201,94:d4:69:fd:b2:27,,-68,1714717375.8688695,LC405test
202,94:d4:69:fd:b2:28,stop&go,-68,1714717375.8688695,LC405test
203,94:d4:69:fd:b2:29,TOSS2024,-68,1714717375.8688695,LC405test
204,94:d4:69:fd:b2:2b,Guest-CentraleSupelec,-79,1714717375.8688695,LC405test
205,94:d4:69:fd:b2:2c,CD91,-79,1714717375.8688695,LC405test
206,94:d4:69:fd:b2:2d,START UP FOR KIDS,-79,1714717375.8688695,LC405test
207,94:d4:69:fd:b2:2f,eduroam,-79,1714717375.8688695,LC405test
208,00:0e:8e:6e:4d:5e,ClickShare-AMPHI LANGUES,-97,1714717382.8728032,LC405test
209,10:be:f5:be:82:a8,,-92,1714717382.8728032,LC405test
210,28:ee:52:ae:77:07,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9 5GHz,-93,1714717382.8728032,LC405test
211,28:ee:52:ae:77:08,Le Toucan D\xc3\xa9cha\xc3\xaen\xc3\xa9,-76,1714717382.8728032,LC405test
212,32:3d:6b:ac:cc:58,Galaxy A04s F93A,-70,1714717382.8728032,LC405test
213,70:d3:79:39:de:20,eduroam,-81,1714717382.8728032,LC405test
214,70:d3:79:39:de:27,,-81,1714717382.8728032,LC405test
215,94:d4:69:f9:7d:40,eduroam,-82,1714717382.8728032,LC405test
216,94:d4:69:fa:94:42,START UP FOR KIDS,-80,1714717382.8728032,LC405test
217,94:d4:69:fa:94:48,stop&go,-77,1714717382.8728032,LC405test
218,94:d4:69:fa:94:49,TOSS2024,-81,1714717382.8728032,LC405test
219,94:d4:69:fa:9a:00,eduroam,-67,1714717382.8728032,LC405test
220,94:d4:69:fa:9a:01,,-67,1714717382.8728032,LC405test
221,94:d4:69:fa:9a:02,START UP FOR KIDS,-67,1714717382.8728032,LC405test
222,94:d4:69:fa:9a:03,CD91,-67,1714717382.8728032,LC405test
223,94:d4:69:fa:9a:04,Guest-CentraleSupelec,-67,1714717382.8728032,LC405test
224,94:d4:69:fa:9a:05,,-67,1714717382.8728032,LC405test
225,94:d4:69:fa:9a:06,fabrique2024,-67,1714717382.8728032,LC405test
226,94:d4:69:fa:9a:07,,-67,1714717382.8728032,LC405test
227,94:d4:69:fa:9a:08,stop&go,-67,1714717382.8728032,LC405test
228,94:d4:69:fa:9a:09,TOSS2024,-67,1714717382.8728032,LC405test
229,94:d4:69:fa:9a:0b,Guest-CentraleSupelec,-81,1714717382.8728032,LC405test
230,94:d4:69:fa:9a:0c,CD91,-82,1714717382.8728032,LC405test
231,94:d4:69:fa:9a:0d,START UP FOR KIDS,-82,1714717382.8728032,LC405test
232,94:d4:69:fa:9a:0f,eduroam,-81,1714717382.8728032,LC405test
233,94:d4:69:fd:b1:00,eduroam,-72,1714717382.8728032,LC405test
234,94:d4:69:fd:b1:01,,-72,1714717382.8728032,LC405test
235,94:d4:69:fd:b1:02,START UP FOR KIDS,-72,1714717382.8728032,LC405test
236,94:d4:69:fd:b1:03,CD91,-72,1714717382.8728032,LC405test
237,94:d4:69:fd:b1:04,Guest-CentraleSupelec,-72,1714717382.8728032,LC405test
238,94:d4:69:fd:b1:05,,-72,1714717382.8728032,LC405test
239,94:d4:69:fd:b1:06,fabrique2024,-72,1714717382.8728032,LC405test
240,94:d4:69:fd:b1:07,,-72,1714717382.8728032,LC405test
241,94:d4:69:fd:b1:08,stop&go,-72,1714717382.8728032,LC405test
242,94:d4:69:fd:b1:09,TOSS2024,-72,1714717382.8728032,LC405test
243,94:d4:69:fd:b1:0b,Guest-CentraleSupelec,-86,1714717382.8728032,LC405test
244,94:d4:69:fd:b1:0c,CD91,-85,1714717382.8728032,LC405test
245,94:d4:69:fd:b1:0d,START UP FOR KIDS,-86,1714717382.8728032,LC405test
246,94:d4:69:fd:b2:20,eduroam,-61,1714717382.8728032,LC405test
247,94:d4:69:fd:b2:21,,-61,1714717382.8728032,LC405test
248,94:d4:69:fd:b2:22,START UP FOR KIDS,-61,1714717382.8728032,LC405test
249,94:d4:69:fd:b2:23,CD91,-60,1714717382.8728032,LC405test
250,94:d4:69:fd:b2:24,Guest-CentraleSupelec,-60,1714717382.8728032,LC405test
251,94:d4:69:fd:b2:25,,-68,1714717382.8728032,LC405test
252,94:d4:69:fd:b2:26,fabrique2024,-60,1714717382.8728032,LC405test
253,94:d4:69:fd:b2:27,,-60,1714717382.8728032,LC405test
254,94:d4:69:fd:b2:28,stop&go,-60,1714717382.8728032,LC405test
255,94:d4:69:fd:b2:29,TOSS2024,-60,1714717382.8728032,LC405test
256,94:d4:69:fd:b2:2b,Guest-CentraleSupelec,-75,1714717382.8728032,LC405test
257,94:d4:69:fd:b2:2c,CD91,-75,1714717382.8728032,LC405test
258,94:d4:69:fd:b2:2d,START UP FOR KIDS,-75,1714717382.8728032,LC405test
259,94:d4:69:fd:b2:2f,eduroam,-75,1714717382.8728032,LC405test
